,date,XAUUSD Open,XAUUSD Low,XAUUSD High,XAUUSD Close,XAUUSD Adj. Close,XAUUSD Vol  (1M),XAUUSD Vol  (3M),XAUUSD Vol  (6M),M1 USD (B),M2 USD (B)
0,2020-10-26,1901.89,1893.69,1907.17,1901.4,1901.4,14.64,20.82,17.14,5580.6,18838.6
1,2020-10-19,1898.9,1898.31,1916.62,1903.3,1903.3,17.26,21.28,17.25,5545.7,18815.3
2,2020-10-12,1930.3,1919.59,1932.3,1922.92,1922.92,16.65,21.44,17.33,5603.9,18795.6
3,2020-10-05,1899.29,1888.24,1916.9,1913.83,1913.83,13.78,20.74,17.37,5507.7,18689.1
4,2020-09-28,1861.55,1850.8,1882.87,1881.93,1881.93,13.26,20.58,17.88,5500.2,18643.3
5,2020-09-21,1950.1,1887.24,1954.51,1912.09,1912.09,14.31,20.0,18.1,5564.3,18709.7
6,2020-09-14,1940.26,1938.8,1961.1,1956.61,1956.61,20.1,19.64,19.6,5565.6,18690.9
7,2020-09-07,1933.73,1925.5,1940.93,1928.73,1928.73,29.04,19.6,20.36,5394.5,18566.1
8,2020-08-31,1964.9,1955.99,1976.13,1968.28,1968.28,30.69,19.87,21.64,5408.5,18455.9
9,2020-08-24,1940.23,1924.53,1958.66,1928.68,1928.68,30.55,19.68,21.91,5364.3,18376.8
10,2020-08-17,1944.34,1932.17,1988.51,1984.51,1984.51,27.36,18.2,21.88,5336.0,18441.1
11,2020-08-10,2035.25,2021.32,2049.74,2027.78,2027.78,14.23,12.77,20.0,5411.3,18394.9
12,2020-08-03,1975.47,1962.42,1984.86,1976.98,1976.98,11.02,12.07,19.6,5488.4,18252.1
13,2020-07-27,1901.35,1901.1,1944.32,1941.14,1941.14,10.82,12.63,19.66,5362.1,18278.7
14,2020-07-20,1810.04,1806.24,1818.48,1817.32,1817.32,7.18,11.57,19.32,5349.0,18313.1
15,2020-07-13,1798.82,1798.21,1812.53,1802.55,1802.55,7.26,12.87,19.27,5288.4,18384.3
16,2020-07-06,1775.33,1771.3,1786.86,1784.85,1784.85,8.66,13.99,19.28,5205.4,18321.1
17,2020-06-29,1771.4,1767.62,1774.8,1772.97,1772.97,12.95,14.95,19.37,5297.6,18230.1
18,2020-06-22,1743.59,1743.59,1763.1,1754.84,1754.84,13.59,16.19,19.43,5294.2,18233.7
19,2020-06-15,1730.48,1705.44,1734.05,1725.26,1725.26,13.92,19.99,19.44,5190.3,18136.0
20,2020-06-08,1684.57,1679.14,1700.44,1698.53,1698.53,13.46,23.32,19.3,5097.8,18060.0
21,2020-06-01,1729.6,1729.55,1743.9,1739.78,1739.78,12.22,23.38,18.91,5017.4,17970.3
22,2020-05-25,1735.09,1725.06,1735.09,1729.1,1729.1,13.1,25.14,18.92,5069.9,17936.0
23,2020-05-18,1742.73,1728.43,1764.87,1732.72,1732.72,14.3,25.3,18.86,5036.3,17907.5
24,2020-05-11,1706.03,1694.28,1723.44,1698.58,1698.58,16.83,25.3,18.78,5050.7,17817.7
25,2020-05-04,1697.8,1693.75,1717.79,1701.03,1701.03,18.88,24.91,18.52,4985.4,17598.4
26,2020-04-27,1728.15,1709.7,1728.15,1714.9,1714.9,21.06,24.87,18.69,4897.2,17405.0
27,2020-04-20,1684.08,1672.79,1701.42,1694.81,1694.81,27.64,24.59,18.53,4848.7,17075.4
28,2020-04-13,1684.23,1680.82,1721.56,1713.0,1713.0,29.82,24.06,18.21,4716.1,16715.5
29,2020-04-06,1617.54,1612.5,1668.85,1659.2,1659.2,34.6,23.52,17.83,4589.9,16595.7
30,2020-03-30,1627.29,1612.49,1631.75,1620.86,1620.86,34.09,22.42,17.01,4512.7,16533.0
31,2020-03-23,1500.03,1486.45,1560.25,1552.41,1552.41,32.27,20.31,15.86,4312.3,16151.2
32,2020-03-16,1530.55,1454.4,1571.75,1509.28,1509.28,28.02,17.73,14.44,4125.1,15725.8
33,2020-03-09,1674.42,1660.23,1701.75,1678.47,1678.47,20.48,13.74,12.35,4062.0,15567.3
34,2020-03-02,1609.37,1587.7,1609.61,1587.7,1587.7,17.4,12.07,11.4,4026.9,15512.8
35,2020-02-24,1643.15,1643.15,1688.5,1659.16,1659.16,10.8,9.04,10.68,3970.0,15434.1
36,2020-02-17,1584.0,1579.0,1584.0,1581.25,1581.25,8.31,8.49,10.41,3982.4,15442.9
37,2020-02-10,1570.32,1568.26,1576.53,1573.05,1573.05,8.6,8.41,10.75,4011.7,15432.5
38,2020-02-03,1589.0,1571.79,1590.46,1576.99,1576.99,8.73,8.62,10.85,4078.7,15428.2
39,2020-01-27,1571.57,1571.57,1585.87,1582.65,1582.65,8.69,9.22,11.12,3959.7,15445.3
40,2020-01-20,1557.42,1556.61,1562.58,1560.56,1560.56,9.36,9.4,11.88,3975.4,15423.3
41,2020-01-13,1562.12,1547.7,1562.12,1548.82,1548.82,9.31,9.39,11.98,3946.0,15371.5
42,2020-01-06,1552.02,1552.02,1579.2,1565.69,1565.69,7.57,9.34,12.31,3946.6,15337.7
43,2019-12-30,1510.95,1510.95,1515.93,1515.03,1515.03,7.87,8.92,12.35,3963.3,15333.6
44,2019-12-23,1478.41,1477.75,1485.97,1485.43,1485.43,7.52,9.58,12.82,3998.9,15326.1
45,2019-12-16,1475.84,1473.5,1479.3,1476.46,1476.46,7.63,10.56,13.18,3991.9,15316.1
46,2019-12-09,1459.98,1458.84,1465.05,1460.8,1460.8,7.26,10.63,13.69,3974.9,15261.7
47,2019-12-02,1463.82,1454.54,1464.61,1463.02,1463.02,9.53,10.63,13.57,3950.4,15281.1
48,2019-11-25,1462.36,1454.56,1462.36,1454.6,1454.6,10.39,11.71,13.61,3959.4,15282.4
49,2019-11-18,1467.82,1457.02,1473.75,1471.77,1471.77,10.82,12.57,13.83,3924.9,15251.5
50,2019-11-11,1458.96,1448.77,1466.41,1455.47,1455.47,11.07,12.83,13.85,3952.2,15219.8
51,2019-11-04,1514.1,1505.37,1514.1,1508.38,1508.38,8.96,12.42,13.49,3952.5,15212.9
52,2019-10-28,1504.71,1490.35,1507.81,1492.67,1492.67,10.98,13.16,13.46,3932.2,15189.1
53,2019-10-21,1490.13,1482.41,1494.47,1484.16,1484.16,12.35,14.04,13.45,3926.7,15155.9
54,2019-10-14,1489.02,1483.38,1496.56,1493.09,1493.09,12.8,14.36,13.4,3928.3,15116.9
55,2019-10-07,1504.75,1490.65,1509.3,1493.3,1493.3,13.1,14.76,13.36,3891.2,15110.5
56,2019-09-30,1497.02,1466.95,1499.35,1472.45,1472.45,14.92,15.06,13.33,3926.0,15086.5
57,2019-09-23,1516.18,1512.15,1525.7,1522.46,1522.46,13.27,15.39,12.78,3908.4,15045.7
58,2019-09-16,1489.57,1489.57,1511.7,1498.47,1498.47,14.81,16.11,12.92,3892.8,14992.5
59,2019-09-09,1508.03,1498.51,1520.74,1498.74,1498.74,15.24,15.96,12.79,3892.8,14981.1
60,2019-09-02,1520.98,1520.98,1532.4,1529.0,1529.0,14.1,15.03,12.29,3875.0,14972.7
61,2019-08-26,1521.25,1521.25,1551.13,1527.58,1527.58,15.9,15.07,12.23,3841.8,14938.2
62,2019-08-19,1513.02,1493.98,1513.02,1496.17,1496.17,15.25,14.71,12.3,3829.5,14921.4
63,2019-08-12,1499.08,1488.83,1513.5,1511.92,1511.92,16.02,14.44,12.13,3858.5,14921.5
64,2019-08-05,1440.72,1437.1,1468.92,1464.2,1464.2,16.03,14.06,11.92,3872.9,14920.7
65,2019-07-29,1420.0,1417.89,1428.1,1426.73,1426.73,16.96,12.85,11.17,3871.2,14903.6
66,2019-07-22,1424.31,1422.91,1428.67,1424.83,1424.83,17.53,12.78,11.07,3873.4,14869.4
67,2019-07-15,1415.54,1408.33,1419.22,1413.83,1413.83,17.07,11.8,10.72,3854.4,14829.0
68,2019-07-08,1399.2,1392.64,1407.59,1395.41,1395.41,16.44,11.73,10.47,3835.1,14833.8
69,2019-07-01,1409.58,1382.59,1493.2,1383.91,1383.91,13.9,10.39,9.77,3816.4,14831.9
70,2019-06-24,1399.71,1399.71,1421.13,1419.12,1419.12,11.18,9.36,9.39,3827.8,14798.1
71,2019-06-17,1341.57,1333.31,1342.87,1339.67,1339.67,8.73,8.55,8.62,3830.0,14778.9
72,2019-06-10,1340.55,1325.6,1341.44,1328.0,1328.0,10.17,8.51,9.14,3837.3,14752.3
73,2019-06-03,1306.15,1306.15,1327.76,1324.66,1324.66,9.47,8.67,9.05,3873.4,14727.0
74,2019-05-27,1286.23,1283.99,1287.35,1285.28,1285.28,7.55,7.96,8.74,3807.2,14696.7
75,2019-05-20,1277.72,1274.1,1278.94,1277.79,1277.79,7.47,8.68,8.77,3779.2,14654.0
76,2019-05-13,1285.9,1282.59,1301.22,1299.89,1299.89,7.23,9.07,8.65,3770.0,14613.0
77,2019-05-06,1278.74,1277.53,1285.27,1280.38,1280.38,7.71,8.99,8.69,3762.5,14604.9
78,2019-04-29,1286.06,1278.45,1286.63,1279.72,1279.72,7.04,8.91,8.76,3810.0,14588.9
79,2019-04-22,1276.14,1274.24,1279.72,1274.91,1274.91,8.21,8.91,9.02,3786.8,14544.4
80,2019-04-15,1290.95,1283.02,1292.94,1287.8,1287.8,8.67,9.24,9.0,3793.5,14553.8
81,2019-04-08,1291.26,1288.88,1303.4,1297.7,1297.7,8.8,9.03,8.86,3743.5,14542.4
82,2019-04-01,1293.74,1287.1,1296.85,1287.71,1287.71,9.59,9.23,9.73,3728.4,14549.7
83,2019-03-25,1313.71,1311.32,1324.0,1322.2,1322.2,10.26,8.74,9.6,3725.1,14520.7
84,2019-03-18,1307.85,1298.6,1334.95,1303.73,1303.73,11.14,9.76,9.75,3713.4,14496.4
85,2019-03-11,1298.46,1290.9,1298.87,1293.47,1293.47,10.66,9.49,9.67,3733.0,14499.7
86,2019-03-04,1294.03,1283.4,1296.95,1287.23,1287.23,10.13,9.41,9.59,3763.5,14487.5
87,2019-02-25,1334.95,1325.7,1334.95,1327.61,1327.61,7.95,8.65,9.26,3739.7,14471.3
88,2019-02-18,1321.56,1320.72,1327.4,1326.56,1326.56,7.44,8.13,9.5,3754.8,14453.0
89,2019-02-11,1314.75,1304.3,1314.75,1308.61,1308.61,7.72,8.14,9.43,3765.9,14462.4
90,2019-02-04,1317.9,1310.4,1318.43,1312.91,1312.91,7.67,8.56,9.65,3789.1,14457.6
91,2019-01-28,1302.54,1298.51,1304.2,1303.39,1303.39,8.1,9.09,9.69,3750.3,14472.1
92,2019-01-21,1282.54,1277.18,1283.53,1280.38,1280.38,10.02,8.76,9.57,3754.0,14429.8
93,2019-01-14,1287.66,1287.66,1295.66,1291.85,1291.85,9.97,8.62,9.61,3717.4,14419.1
94,2019-01-07,1284.82,1282.9,1294.2,1288.47,1288.47,9.94,9.95,9.7,3719.1,14407.7
95,2018-12-31,1280.62,1277.59,1284.01,1282.14,1282.14,9.45,10.35,9.71,3740.7,14412.9
96,2018-12-24,1256.39,1256.39,1269.88,1269.21,1269.21,9.95,10.66,9.84,3757.4,14383.2
97,2018-12-17,1238.61,1236.3,1247.99,1246.03,1246.03,6.49,9.82,9.37,3709.0,14313.1
98,2018-12-10,1248.57,1242.37,1250.54,1244.11,1244.11,7.29,9.95,9.35,3765.3,14319.3
99,2018-12-03,1221.97,1221.63,1234.52,1230.3,1230.3,7.83,9.83,9.54,3777.3,14301.7
100,2018-11-26,1223.61,1221.8,1227.4,1222.6,1222.6,9.11,9.83,9.41,3689.3,14256.8
