date,XAUUSD Open,XAUUSD Low,XAUUSD High,XAUUSD Close,XAUUSD Adj. Close,XAUUSD Vol  (1M),XAUUSD Vol  (3M),XAUUSD Vol  (6M)
2020-11-06,1949.53,1936.82,1960.31,1952.11,1952.11,15.76,17.28,17.39
2020-11-05,1903.1,1902.89,1952.5,1950.56,1950.56,15.77,20.87,17.43
2020-11-04,1909.59,1886.9,1915.16,1901.86,1901.86,13.31,20.19,17.1
2020-11-03,1895.16,1888.89,1910.4,1906.91,1906.91,14.92,20.38,17.1
2020-11-02,1881.51,1874.37,1895.5,1895.5,1895.5,14.97,20.5,17.09
2020-10-30,1867.81,1865.45,1888.44,1878.61,1878.61,14.61,20.52,17.09
2020-10-29,1877.31,1860.5,1884.59,1867.25,1867.25,14.97,20.95,17.25
2020-10-28,1907.7,1871.64,1909.98,1876.83,1876.83,15.02,20.93,17.31
2020-10-27,1902.19,1898.71,1910.99,1907.45,1907.45,14.16,20.79,17.15
2020-10-26,1901.89,1893.69,1907.17,1901.4,1901.4,14.64,20.82,17.14
2020-10-23,1903.92,1895.8,1913.93,1901.69,1901.69,14.76,20.87,17.17
2020-10-22,1924.64,1896.22,1925.91,1903.92,1903.92,14.76,20.95,17.32
2020-10-21,1907.01,1907.01,1930.48,1924.8,1924.8,16.02,21.24,17.24
2020-10-20,1904.22,1896.55,1914.16,1907.79,1907.79,15.88,21.23,17.22
2020-10-19,1898.9,1898.31,1916.62,1903.3,1903.3,17.26,21.28,17.25
2020-10-16,1908.39,1898.03,1912.01,1898.99,1898.99,17.29,21.51,17.26
2020-10-15,1901.48,1890.35,1908.76,1908.02,1908.02,17.39,21.63,17.28
2020-10-14,1891.16,1884.8,1912.12,1900.66,1900.66,17.36,21.63,17.46
2020-10-13,1922.64,1888.24,1924.97,1891.43,1891.43,17.22,21.66,17.48
2020-10-12,1930.3,1919.59,1932.3,1922.92,1922.92,16.65,21.44,17.33
2020-10-09,1893.57,1893.32,1930.52,1929.8,1929.8,16.63,21.42,17.61
2020-10-08,1887.58,1882.6,1898.9,1893.46,1893.46,15.06,21.12,17.42
2020-10-07,1878.08,1875.68,1897.62,1888.07,1888.07,15.35,21.11,17.44
2020-10-06,1913.54,1877.3,1919.97,1877.8,1877.8,15.2,21.1,17.46
2020-10-05,1899.29,1888.24,1916.9,1913.83,1913.83,13.78,20.74,17.37
2020-10-02,1905.39,1891.9,1915.8,1900.89,1900.89,13.55,20.75,17.35
2020-10-01,1885.72,1885.53,1911.59,1905.81,1905.81,13.68,20.75,17.63
2020-09-30,1897.42,1881.5,1901.76,1885.45,1885.45,13.71,20.68,17.58
2020-09-29,1881.57,1877.17,1898.58,1897.33,1897.33,13.67,20.63,17.58
2020-09-28,1861.55,1850.8,1882.87,1881.93,1881.93,13.26,20.58,17.88
2020-09-25,1867.85,1855.28,1874.69,1860.34,1860.34,14.37,20.52,17.82
2020-09-24,1863.64,1849.06,1875.89,1868.48,1868.48,14.92,20.51,17.89
2020-09-23,1900.14,1858.3,1904.83,1862.6,1862.6,15.86,20.5,17.92
2020-09-22,1912.68,1897.48,1919.23,1900.82,1900.82,14.33,20.06,18.13
2020-09-21,1950.1,1887.24,1954.51,1912.09,1912.09,14.31,20.0,18.1
2020-09-18,1944.37,1944.25,1959.1,1950.63,1950.63,12.57,19.56,17.88
2020-09-17,1959.62,1934.6,1960.5,1944.42,1944.42,13.03,19.6,17.91
2020-09-16,1954.42,1951.56,1971.34,1959.31,1959.31,18.43,19.54,17.9
2020-09-15,1956.56,1948.6,1970.81,1953.48,1953.48,18.68,19.63,19.04
2020-09-14,1940.26,1938.8,1961.1,1956.61,1956.61,20.1,19.64,19.6
2020-09-11,1946.29,1938.35,1953.6,1940.52,1940.52,19.97,19.6,19.69
2020-09-10,1946.64,1941.87,1966.08,1945.57,1945.57,20.94,19.58,19.71
2020-09-09,1931.58,1920.88,1950.68,1947.62,1947.62,20.95,19.6,20.2
2020-09-08,1928.58,1908.29,1940.3,1931.79,1931.79,29.07,19.55,20.24
2020-09-07,1933.73,1925.5,1940.93,1928.73,1928.73,29.04,19.6,20.36
2020-09-04,1930.39,1918.3,1941.23,1933.34,1933.34,29.35,19.73,20.89
2020-09-03,1942.94,1925.03,1950.7,1930.91,1930.91,29.79,19.79,21.57
2020-09-02,1970.6,1934.7,1972.79,1943.5,1943.5,30.06,19.75,21.57
2020-09-01,1967.7,1965.58,1992.18,1970.98,1970.98,30.7,19.84,21.63
2020-08-31,1964.9,1955.99,1976.13,1968.28,1968.28,30.69,19.87,21.64
2020-08-28,1929.38,1925.02,1973.0,1964.8,1964.8,30.86,20.24,21.64
2020-08-27,1953.97,1917.36,1966.32,1928.4,1928.4,30.19,20.03,21.69
2020-08-26,1928.08,1905.9,1954.49,1954.49,1954.49,29.95,19.81,21.59
2020-08-25,1928.81,1915.6,1937.05,1927.19,1927.19,29.69,19.68,21.9
2020-08-24,1940.23,1924.53,1958.66,1928.68,1928.68,30.55,19.68,21.91
2020-08-21,1946.88,1913.24,1953.31,1939.32,1939.32,30.57,19.62,22.55
2020-08-20,1929.31,1925.67,1953.55,1947.7,1947.7,30.58,19.76,22.53
