" Date","XAUUSD Open","XAUUSD Low","XAUUSD High","XAUUSD Close","XAUUSD Adj. Close","XAUUSD Volume","XAUUSD Vol  (1M)","XAUUSD Vol  (3M)","XAUUSD Vol  (6M)"
11-06-2020,"1,949.53 ","1,936.82 ","1,960.31 ","1,952.11 ","1,952.11 ","0","15.76","17.28","17.39"
11-05-2020,"1,903.10 ","1,902.89 ","1,952.50 ","1,950.56 ","1,950.56 ","0","15.77","20.87","17.43"
11-04-2020,"1,909.59 ","1,886.90 ","1,915.16 ","1,901.86 ","1,901.86 ","0","13.31","20.19","17.10"
11-03-2020,"1,895.16 ","1,888.89 ","1,910.40 ","1,906.91 ","1,906.91 ","0","14.92","20.38","17.10"
11-02-2020,"1,881.51 ","1,874.37 ","1,895.50 ","1,895.50 ","1,895.50 ","0","14.97","20.50","17.09"
10-30-2020,"1,867.81 ","1,865.45 ","1,888.44 ","1,878.61 ","1,878.61 ","0","14.61","20.52","17.09"
10-29-2020,"1,877.31 ","1,860.50 ","1,884.59 ","1,867.25 ","1,867.25 ","0","14.97","20.95","17.25"
10-28-2020,"1,907.70 ","1,871.64 ","1,909.98 ","1,876.83 ","1,876.83 ","0","15.02","20.93","17.31"
10-27-2020,"1,902.19 ","1,898.71 ","1,910.99 ","1,907.45 ","1,907.45 ","0","14.16","20.79","17.15"
10-26-2020,"1,901.89 ","1,893.69 ","1,907.17 ","1,901.40 ","1,901.40 ","0","14.64","20.82","17.14"
10-23-2020,"1,903.92 ","1,895.80 ","1,913.93 ","1,901.69 ","1,901.69 ","0","14.76","20.87","17.17"
10-22-2020,"1,924.64 ","1,896.22 ","1,925.91 ","1,903.92 ","1,903.92 ","0","14.76","20.95","17.32"
10-21-2020,"1,907.01 ","1,907.01 ","1,930.48 ","1,924.80 ","1,924.80 ","0","16.02","21.24","17.24"
10-20-2020,"1,904.22 ","1,896.55 ","1,914.16 ","1,907.79 ","1,907.79 ","0","15.88","21.23","17.22"
10-19-2020,"1,898.90 ","1,898.31 ","1,916.62 ","1,903.30 ","1,903.30 ","0","17.26","21.28","17.25"
10-16-2020,"1,908.39 ","1,898.03 ","1,912.01 ","1,898.99 ","1,898.99 ","0","17.29","21.51","17.26"
10-15-2020,"1,901.48 ","1,890.35 ","1,908.76 ","1,908.02 ","1,908.02 ","0","17.39","21.63","17.28"
10-14-2020,"1,891.16 ","1,884.80 ","1,912.12 ","1,900.66 ","1,900.66 ","0","17.36","21.63","17.46"
10-13-2020,"1,922.64 ","1,888.24 ","1,924.97 ","1,891.43 ","1,891.43 ","0","17.22","21.66","17.48"
10-12-2020,"1,930.30 ","1,919.59 ","1,932.30 ","1,922.92 ","1,922.92 ","0","16.65","21.44","17.33"
10-09-2020,"1,893.57 ","1,893.32 ","1,930.52 ","1,929.80 ","1,929.80 ","0","16.63","21.42","17.61"
10-08-2020,"1,887.58 ","1,882.60 ","1,898.90 ","1,893.46 ","1,893.46 ","0","15.06","21.12","17.42"
10-07-2020,"1,878.08 ","1,875.68 ","1,897.62 ","1,888.07 ","1,888.07 ","0","15.35","21.11","17.44"
10-06-2020,"1,913.54 ","1,877.30 ","1,919.97 ","1,877.80 ","1,877.80 ","0","15.20","21.10","17.46"
10-05-2020,"1,899.29 ","1,888.24 ","1,916.90 ","1,913.83 ","1,913.83 ","0","13.78","20.74","17.37"
10-02-2020,"1,905.39 ","1,891.90 ","1,915.80 ","1,900.89 ","1,900.89 ","0","13.55","20.75","17.35"
10-01-2020,"1,885.72 ","1,885.53 ","1,911.59 ","1,905.81 ","1,905.81 ","0","13.68","20.75","17.63"
09-30-2020,"1,897.42 ","1,881.50 ","1,901.76 ","1,885.45 ","1,885.45 ","0","13.71","20.68","17.58"
09-29-2020,"1,881.57 ","1,877.17 ","1,898.58 ","1,897.33 ","1,897.33 ","0","13.67","20.63","17.58"
09-28-2020,"1,861.55 ","1,850.80 ","1,882.87 ","1,881.93 ","1,881.93 ","0","13.26","20.58","17.88"
09-25-2020,"1,867.85 ","1,855.28 ","1,874.69 ","1,860.34 ","1,860.34 ","0","14.37","20.52","17.82"
